                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.93778,                0.57423,                 1.0805,                0.88749,                0.98113,                0.90681,                0.68118,                0.91867,                0.53637,                 1.1326,               0.000812,               0.000812,               0.000812
                     62,                0.93127,                0.55608,                 1.0856,                0.89126,                0.98742,                0.90829,                 0.6783,                 0.9303,                0.53558,                 1.1329,              0.0007922,              0.0007922,              0.0007922
                     63,                0.95528,                0.56411,                 1.0965,                 0.8996,                0.98742,                0.91184,                0.69331,                0.92303,                0.53187,                 1.1118,              0.0007724,              0.0007724,              0.0007724
                     64,                0.91134,                0.55361,                 1.0771,                0.89968,                0.98742,                0.92267,                0.68325,                0.92856,                0.53087,                 1.1286,              0.0007526,              0.0007526,              0.0007526
                     65,                0.93536,                0.56016,                 1.0785,                0.89685,                0.98742,                0.91835,                0.69005,                0.89207,                0.52839,                 1.1202,              0.0007328,              0.0007328,              0.0007328
                     66,                0.92135,                0.54736,                 1.0802,                0.89999,                0.98742,                0.91559,                0.69477,                0.90425,                0.52561,                 1.1048,               0.000713,               0.000713,               0.000713
                     67,                0.88189,                0.53662,                 1.0565,                0.90692,                0.98742,                0.91521,                 0.6838,                0.96899,                0.53012,                 1.1448,              0.0006932,              0.0006932,              0.0006932
                     68,                0.89647,                0.52727,                 1.0684,                0.91212,                0.98742,                0.90676,                0.69488,                0.89916,                0.51284,                 1.1214,              0.0006734,              0.0006734,              0.0006734
                     69,                0.91053,                 0.5473,                 1.0768,                0.90712,                0.98742,                0.90691,                0.67214,                0.95108,                0.53076,                 1.1291,              0.0006536,              0.0006536,              0.0006536
                     70,                0.92071,                0.55382,                 1.0881,                0.90192,                0.98742,                0.90515,                0.67033,                0.93596,                0.51719,                 1.1279,              0.0006338,              0.0006338,              0.0006338
